,Review created,Count
0,2023-05-01,4
1,2023-05-02,3
2,2023-05-03,5
3,2023-05-04,2
4,2023-05-05,1
5,2023-05-06,2
6,2023-05-07,1
7,2023-05-08,3
8,2023-05-09,2
9,2023-05-15,272
10,2023-05-16,745
11,2023-05-17,530
12,2023-05-18,463
13,2023-05-19,489
14,2023-05-20,611
15,2023-05-21,934
16,2023-05-22,1611
17,2023-05-23,1353
18,2023-05-24,1116
19,2023-05-25,881
20,2023-05-26,658
21,2023-05-27,930
22,2023-05-28,979
23,2023-05-29,1485
24,2023-05-30,1242
25,2023-05-31,1598
26,2023-06-01,973
27,2023-06-02,785
28,2023-06-03,850
29,2023-06-04,982
30,2023-06-05,1588
31,2023-06-06,1437
32,2023-06-07,962
33,2023-06-08,818
34,2023-06-09,734
35,2023-06-10,733
36,2023-06-11,1026
37,2023-06-12,1257
38,2023-06-13,1219
39,2023-06-14,1293
40,2023-06-15,1078
41,2023-06-16,877
42,2023-06-17,603
43,2023-06-18,910
44,2023-06-19,1451
45,2023-06-20,1372
46,2023-06-21,1607
47,2023-06-22,821
48,2023-06-23,778
49,2023-06-24,784
50,2023-06-25,889
51,2023-06-26,1880
52,2023-06-27,1456
53,2023-06-28,1010
54,2023-06-29,862
55,2023-06-30,786
